subject,fuzzer,data_type,time,data
live555,aflnet,nodes,300,9.0
live555,aflnet,nodes,301,9.0
live555,aflnet,nodes,302,9.0
live555,aflnet,nodes,303,9.0
live555,aflnet,nodes,304,9.0
live555,aflnet,nodes,305,9.0
live555,aflnet,nodes,306,9.0
live555,aflnet,nodes,307,9.0
live555,aflnet,nodes,308,9.0
live555,aflnet,nodes,309,9.0
live555,aflnet,nodes,310,9.0
live555,aflnet,nodes,311,9.0
live555,aflnet,nodes,312,9.0
live555,aflnet,nodes,313,9.0
live555,aflnet,nodes,314,9.0
live555,aflnet,nodes,315,9.0
live555,aflnet,nodes,316,9.0
live555,aflnet,nodes,317,9.0
live555,aflnet,nodes,318,9.0
live555,aflnet,nodes,319,9.0
live555,aflnet,nodes,320,9.0
live555,aflnet,nodes,321,9.0
live555,aflnet,nodes,322,9.0
live555,aflnet,nodes,323,9.0
live555,aflnet,nodes,324,9.0
live555,aflnet,nodes,325,9.0
live555,aflnet,nodes,326,9.0
live555,aflnet,nodes,327,9.0
live555,aflnet,nodes,328,9.0
live555,aflnet,nodes,329,9.0
live555,aflnet,nodes,330,9.0
live555,aflnet,nodes,331,9.0
live555,aflnet,nodes,332,9.0
live555,aflnet,nodes,333,9.0
live555,aflnet,nodes,334,9.0
live555,aflnet,nodes,335,9.0
live555,aflnet,nodes,336,9.0
live555,aflnet,nodes,337,9.0
live555,aflnet,nodes,338,9.0
live555,aflnet,nodes,339,9.0
live555,aflnet,nodes,340,9.0
live555,aflnet,nodes,341,9.0
live555,aflnet,nodes,342,9.0
live555,aflnet,nodes,343,9.0
live555,aflnet,nodes,344,9.0
live555,aflnet,nodes,345,9.0
live555,aflnet,nodes,346,9.0
live555,aflnet,nodes,347,9.0
live555,aflnet,nodes,348,9.0
live555,aflnet,nodes,349,9.0
live555,aflnet,nodes,350,9.0
live555,aflnet,nodes,351,9.0
live555,aflnet,nodes,352,9.0
live555,aflnet,nodes,353,9.0
live555,aflnet,nodes,354,9.0
live555,aflnet,nodes,355,9.0
live555,aflnet,nodes,356,9.0
live555,aflnet,nodes,357,9.0
live555,aflnet,nodes,358,9.0
live555,aflnet,nodes,359,9.0
