time,subject,fuzzer,run,state_type,state
1764435940,proftpd,aflnet,1,nodes,17
1764435940,proftpd,aflnet,1,edges,67
1764435945,proftpd,aflnet,1,nodes,17
1764435945,proftpd,aflnet,1,edges,69
1764435950,proftpd,aflnet,1,nodes,17
1764435950,proftpd,aflnet,1,edges,69
1764435955,proftpd,aflnet,1,nodes,17
1764435955,proftpd,aflnet,1,edges,69
1764435960,proftpd,aflnet,1,nodes,17
1764435960,proftpd,aflnet,1,edges,69
1764435966,proftpd,aflnet,1,nodes,17
1764435966,proftpd,aflnet,1,edges,69
1764435971,proftpd,aflnet,1,nodes,17
1764435971,proftpd,aflnet,1,edges,69
1764435976,proftpd,aflnet,1,nodes,17
1764435976,proftpd,aflnet,1,edges,69
1764435982,proftpd,aflnet,1,nodes,17
1764435982,proftpd,aflnet,1,edges,69
1764435987,proftpd,aflnet,1,nodes,17
1764435987,proftpd,aflnet,1,edges,69
1764435992,proftpd,aflnet,1,nodes,17
1764435992,proftpd,aflnet,1,edges,69
1764435998,proftpd,aflnet,1,nodes,17
1764435998,proftpd,aflnet,1,edges,69
1764436003,proftpd,aflnet,1,nodes,17
1764436003,proftpd,aflnet,1,edges,69
1764436008,proftpd,aflnet,1,nodes,17
1764436008,proftpd,aflnet,1,edges,69
1764436013,proftpd,aflnet,1,nodes,17
1764436013,proftpd,aflnet,1,edges,69
1764436018,proftpd,aflnet,1,nodes,17
1764436018,proftpd,aflnet,1,edges,69
1764436024,proftpd,aflnet,1,nodes,17
1764436024,proftpd,aflnet,1,edges,69
1764436029,proftpd,aflnet,1,nodes,17
1764436029,proftpd,aflnet,1,edges,69
1764436035,proftpd,aflnet,1,nodes,17
1764436035,proftpd,aflnet,1,edges,69
1764436040,proftpd,aflnet,1,nodes,17
1764436040,proftpd,aflnet,1,edges,69
1764436045,proftpd,aflnet,1,nodes,17
1764436045,proftpd,aflnet,1,edges,69
1764436050,proftpd,aflnet,1,nodes,17
1764436050,proftpd,aflnet,1,edges,69
1764436055,proftpd,aflnet,1,nodes,17
1764436055,proftpd,aflnet,1,edges,69
1764436061,proftpd,aflnet,1,nodes,17
1764436061,proftpd,aflnet,1,edges,70
1764436066,proftpd,aflnet,1,nodes,17
1764436066,proftpd,aflnet,1,edges,70
1764436071,proftpd,aflnet,1,nodes,17
1764436071,proftpd,aflnet,1,edges,70
1764436076,proftpd,aflnet,1,nodes,17
1764436076,proftpd,aflnet,1,edges,70
1764436082,proftpd,aflnet,1,nodes,17
1764436082,proftpd,aflnet,1,edges,71
1764436087,proftpd,aflnet,1,nodes,17
1764436087,proftpd,aflnet,1,edges,71
1764436092,proftpd,aflnet,1,nodes,17
1764436092,proftpd,aflnet,1,edges,72
