time,subject,fuzzer,run,state_type,state
1764774381,proftpd,aflnet,1,edges,39
1764774386,proftpd,aflnet,1,nodes,17
1764774386,proftpd,aflnet,1,edges,44
1764774392,proftpd,aflnet,1,nodes,17
1764774392,proftpd,aflnet,1,edges,45
1764774397,proftpd,aflnet,1,nodes,17
1764774397,proftpd,aflnet,1,edges,46
1764774402,proftpd,aflnet,1,nodes,17
1764774402,proftpd,aflnet,1,edges,48
1764774407,proftpd,aflnet,1,nodes,17
1764774407,proftpd,aflnet,1,edges,48
1764774412,proftpd,aflnet,1,nodes,17
1764774412,proftpd,aflnet,1,edges,48
1764774417,proftpd,aflnet,1,nodes,17
1764774417,proftpd,aflnet,1,edges,51
1764774423,proftpd,aflnet,1,nodes,17
1764774423,proftpd,aflnet,1,edges,51
1764774428,proftpd,aflnet,1,nodes,17
1764774428,proftpd,aflnet,1,edges,51
1764774433,proftpd,aflnet,1,nodes,17
1764774433,proftpd,aflnet,1,edges,51
1764774438,proftpd,aflnet,1,nodes,17
1764774438,proftpd,aflnet,1,edges,51
1764774443,proftpd,aflnet,1,nodes,17
1764774443,proftpd,aflnet,1,edges,53
1764774448,proftpd,aflnet,1,nodes,17
1764774448,proftpd,aflnet,1,edges,53
1764774453,proftpd,aflnet,1,nodes,17
1764774453,proftpd,aflnet,1,edges,54
1764774459,proftpd,aflnet,1,nodes,17
1764774459,proftpd,aflnet,1,edges,54
1764774464,proftpd,aflnet,1,nodes,17
1764774464,proftpd,aflnet,1,edges,55
1764774469,proftpd,aflnet,1,nodes,17
1764774469,proftpd,aflnet,1,edges,55
1764774479,proftpd,aflnet,1,nodes,17
1764774479,proftpd,aflnet,1,edges,55
1764774484,proftpd,aflnet,1,nodes,17
1764774484,proftpd,aflnet,1,edges,55
1764774489,proftpd,aflnet,1,nodes,17
1764774489,proftpd,aflnet,1,edges,55
1764774494,proftpd,aflnet,1,nodes,17
1764774494,proftpd,aflnet,1,edges,55
1764774500,proftpd,aflnet,1,nodes,17
1764774500,proftpd,aflnet,1,edges,55
1764774505,proftpd,aflnet,1,nodes,17
1764774505,proftpd,aflnet,1,edges,55
1764774510,proftpd,aflnet,1,nodes,17
1764774510,proftpd,aflnet,1,edges,55
1764774515,proftpd,aflnet,1,nodes,17
1764774515,proftpd,aflnet,1,edges,56
1764774520,proftpd,aflnet,1,nodes,17
1764774520,proftpd,aflnet,1,edges,56
1764774525,proftpd,aflnet,1,nodes,17
1764774525,proftpd,aflnet,1,edges,58
1764774530,proftpd,aflnet,1,nodes,17
1764774530,proftpd,aflnet,1,edges,58
1764774540,proftpd,aflnet,1,nodes,17
1764774540,proftpd,aflnet,1,edges,58
1764774546,proftpd,aflnet,1,nodes,17
1764774546,proftpd,aflnet,1,edges,58
1764774551,proftpd,aflnet,1,nodes,17
1764774551,proftpd,aflnet,1,edges,58
1764774556,proftpd,aflnet,1,nodes,17
1764774556,proftpd,aflnet,1,edges,58
1764774561,proftpd,aflnet,1,nodes,17
1764774561,proftpd,aflnet,1,edges,58
1764774566,proftpd,aflnet,1,nodes,17
1764774566,proftpd,aflnet,1,edges,58
1764774571,proftpd,aflnet,1,nodes,17
1764774571,proftpd,aflnet,1,edges,58
1764774576,proftpd,aflnet,1,nodes,17
1764774576,proftpd,aflnet,1,edges,58
1764774586,proftpd,aflnet,1,nodes,17
1764774586,proftpd,aflnet,1,edges,58
1764774592,proftpd,aflnet,1,nodes,17
1764774592,proftpd,aflnet,1,edges,58
1764774597,proftpd,aflnet,1,nodes,17
1764774597,proftpd,aflnet,1,edges,58
1764774607,proftpd,aflnet,1,nodes,17
1764774607,proftpd,aflnet,1,edges,59
1764774612,proftpd,aflnet,1,nodes,17
1764774612,proftpd,aflnet,1,edges,60
1764774617,proftpd,aflnet,1,nodes,17
1764774617,proftpd,aflnet,1,edges,61
1764774622,proftpd,aflnet,1,nodes,17
1764774622,proftpd,aflnet,1,edges,61
1764774627,proftpd,aflnet,1,nodes,17
1764774627,proftpd,aflnet,1,edges,61
1764774632,proftpd,aflnet,1,nodes,17
1764774632,proftpd,aflnet,1,edges,61
1764774638,proftpd,aflnet,1,nodes,17
1764774638,proftpd,aflnet,1,edges,61
1764774643,proftpd,aflnet,1,nodes,17
1764774643,proftpd,aflnet,1,edges,61
1764774648,proftpd,aflnet,1,nodes,17
1764774648,proftpd,aflnet,1,edges,61
1764774653,proftpd,aflnet,1,nodes,17
